column_name,data_type,distinct_value_count,max_value,min_value,null_count,null_percentage,row_count,sample_values,table_name
referee_id,string,37,,,3,6.52,46,e04c6b50af7c034b0b48b4afdde0e2c9 | 12dd343d282fb7915f55982937c30b87 | 8cba435bca358b92462a30bc999598bf,user_referrals
referee_name,string,35,,,3,6.52,46,2eb4b6e1ee9574c9e4a5f7e7e9b09280 | fa8e148b928aac56782d5c50042aee7b | b2b3dd66bfbbfb5154c3d6287784d0c8,user_referrals
referee_phone,string,33,,,0,0.0,46,881fb2c28d8cd331725917358f54f8ab | 9c29e785a9fadbb9c13e8ab7dce211a5 | 6868015ee627081d0ec2e58f8c08ed45,user_referrals
referral_at,timestamp,44,2024-05-24 04:57:33,2024-03-08 11:31:24,0,0.0,46,2024-05-05 12:03:23 | 2024-05-13 09:47:45 | 2024-05-02 04:19:27,user_referrals
referral_id,string,46,,,0,0.0,46,24e66dee053da38b3a19bfb9e91e8faf | e74f3e7cae96a2c81a7970ec3a8ccb82 | 9e9324e6fde29bb0d230654b38ccfdd4,user_referrals
referral_reward_id,string,3,,,38,82.61,46,3 | 1 | 2,user_referrals
referral_source,string,3,,,0,0.0,46,Draft Transaction | Lead | User Sign Up,user_referrals
referrer_id,string,13,,,13,28.26,46,1eab0611433407d851896635a5b735f5 | 2bab9f04bacea881a9e796136ac186da | f2de40c8394f4ea9a6aa49965380dd8f,user_referrals
transaction_id,string,27,,,13,28.26,46,e283b54d76844faaa985f83b037de8a2 | 62afd56341d234457415c97c9c866aa9 | da0071e2bb7794ac19ff4dbbb6e772f0,user_referrals
updated_at,timestamp,40,2024-05-24 04:57:33,2024-04-29 04:04:15,0,0.0,46,2024-05-05 12:03:23 | 2024-05-13 09:47:45 | 2024-05-02 04:19:27,user_referrals
user_referral_status_id,int,3,3,1,0,0.0,46,1 | 3 | 2,user_referrals
